"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 16 15:05:02 UYT 2021","Thu Sep 16 15:05:02 UYT 2021","98","","register","","register","Should register correctly","Should register correctly",""
"passed","Fri Sep 17 15:59:37 UYT 2021","Fri Sep 17 15:59:39 UYT 2021","1770","","Search for a product, and add it to the cart","","Search for a product, and add it to the cart","Should add product to the cart","Should add product to the cart",""
"passed","Fri Sep 17 17:04:20 UYT 2021","Fri Sep 17 17:04:21 UYT 2021","956","","Search for a product, and add it to the cart","","Search for a product, and add it to the cart","Should open the cart and verify that the product was correctly added","Should open the cart and verify that the product was correctly added",""
"passed","Fri Sep 17 09:56:57 UYT 2021","Fri Sep 17 09:57:24 UYT 2021","27531","","register","","register","Should go to Login page","Should go to Login page",""
"passed","Fri Sep 17 17:04:08 UYT 2021","Fri Sep 17 17:04:15 UYT 2021","7331","","Search for a product, and add it to the cart","","Search for a product, and add it to the cart","Should search for the product ","Should search for the product ",""
"passed","Fri Sep 17 09:28:26 UYT 2021","Fri Sep 17 09:28:26 UYT 2021","72","","OpenCart","","OpenCart","Debería buscar iPhone","Debería buscar iPhone",""
"passed","Sat Sep 18 17:45:16 UYT 2021","Sat Sep 18 17:45:20 UYT 2021","3356","","login","","login","Should login correctly","Should login correctly",""
"passed","Fri Sep 17 17:04:18 UYT 2021","Fri Sep 17 17:04:20 UYT 2021","2019","","Search for a product, and add it to the cart","","Search for a product, and add it to the cart","Should add the product to the cart","Should add the product to the cart",""
"passed","Sat Sep 18 17:45:04 UYT 2021","Sat Sep 18 17:45:16 UYT 2021","12574","","login","","login","Should NOT login correctly","Should NOT login correctly",""
"passed","Thu Sep 16 20:18:38 UYT 2021","Thu Sep 16 20:18:41 UYT 2021","3639","","login","","login","Should logut ","Should logut ",""
"failed","Fri Sep 17 09:57:25 UYT 2021","Fri Sep 17 09:57:44 UYT 2021","18627","","register","","register","Should complete register form and verify that we are redirected to my account page","Should complete register form and verify that we are redirected to my account page",""
"passed","Thu Sep 16 16:38:22 UYT 2021","Thu Sep 16 16:38:38 UYT 2021","16090","","register","","register","Should go to login page and verify the URL","Should go to login page and verify the URL",""
"failed","Thu Sep 16 17:00:52 UYT 2021","Thu Sep 16 17:00:57 UYT 2021","4526","","register","","register","Must complete the register 'pre' form","Must complete the register 'pre' form",""
"failed","Sat Sep 18 14:47:22 UYT 2021","Sat Sep 18 14:47:26 UYT 2021","4464","","Send contact Us form","","Send contact Us form","Should complete contact us form","Should complete contact us form",""
"passed","Fri Sep 17 17:04:15 UYT 2021","Fri Sep 17 17:04:18 UYT 2021","2198","","Search for a product, and add it to the cart","","Search for a product, and add it to the cart","Should go to page of the product","Should go to page of the product",""
"failed","Sat Sep 18 16:47:04 UYT 2021","Sat Sep 18 16:47:05 UYT 2021","364","","login","","login","Should signOut from the account","Should signOut from the account",""
"passed","Sat Sep 18 14:47:15 UYT 2021","Sat Sep 18 14:47:22 UYT 2021","7163","","Send contact Us form","","Send contact Us form","Should go to contact us page","Should go to contact us page",""
"broken","Thu Sep 16 20:02:19 UYT 2021","Thu Sep 16 20:02:19 UYT 2021","242","","register","","register","Should SignOut","Should SignOut",""
"broken","Thu Sep 16 20:36:30 UYT 2021","Thu Sep 16 20:36:40 UYT 2021","10115","","register","","register","Should signOut from the account","Should signOut from the account",""
"failed","Thu Sep 16 16:34:45 UYT 2021","Thu Sep 16 16:34:46 UYT 2021","781","","register","","register","Should complete the create an account form and verify that we are redirected to register page","Should complete the create an account form and verify that we are redirected to register page",""
"passed","Fri Sep 17 12:20:24 UYT 2021","Fri Sep 17 12:21:14 UYT 2021","50160","","Search for a product, go to product page and add to the cart","","Search for a product, go to product page and add to the cart","Should search for the product ","Should search for the product ",""
"passed","Fri Sep 17 09:57:24 UYT 2021","Fri Sep 17 09:57:25 UYT 2021","594","","register","","register","Should complete the register 'pre' form","Should complete the register 'pre' form",""
"passed","Sat Sep 18 15:19:30 UYT 2021","Sat Sep 18 15:19:37 UYT 2021","6784","","Subscribe to Newsletter","","Subscribe to Newsletter","Should enter the email to subscribe to a Newsletter and verify that we still in home page and a success message is displayed","Should enter the email to subscribe to a Newsletter and verify that we still in home page and a success message is displayed",""
"passed","Fri Sep 17 15:59:34 UYT 2021","Fri Sep 17 15:59:37 UYT 2021","2933","","Search for a product, and add it to the cart","","Search for a product, and add it to the cart","Should go to page of the searched product","Should go to page of the searched product",""
